Date,Time,Timezone,Grid_prices[EUR/kWh]
2025-05-11,15:00,+02:00,0.1077
2025-05-11,15:15,+02:00,0.1077
2025-05-11,15:30,+02:00,0.1077
2025-05-11,15:45,+02:00,0.1077
2025-05-11,16:00,+02:00,0.1077
2025-05-11,16:15,+02:00,0.1077
2025-05-11,16:30,+02:00,0.1077
2025-05-11,16:45,+02:00,0.1077
2025-05-11,17:00,+02:00,0.1435
2025-05-11,17:15,+02:00,0.1435
2025-05-11,17:30,+02:00,0.1435
2025-05-11,17:45,+02:00,0.1435
2025-05-11,18:00,+02:00,0.1077
2025-05-11,18:15,+02:00,0.1077
2025-05-11,18:30,+02:00,0.1077
2025-05-11,18:45,+02:00,0.1077
2025-05-11,19:00,+02:00,0.1077
2025-05-11,19:15,+02:00,0.1077
2025-05-11,19:30,+02:00,0.1077
2025-05-11,19:45,+02:00,0.1077
2025-05-11,20:00,+02:00,0.1077
2025-05-11,20:15,+02:00,0.1077
2025-05-11,20:30,+02:00,0.1077
2025-05-11,20:45,+02:00,0.1077
2025-05-11,21:00,+02:00,0.1077
2025-05-11,21:15,+02:00,0.1077
2025-05-11,21:30,+02:00,0.1077
2025-05-11,21:45,+02:00,0.1077
2025-05-11,22:00,+02:00,0.1077
2025-05-11,22:15,+02:00,0.1077
2025-05-11,22:30,+02:00,0.1077
2025-05-11,22:45,+02:00,0.1077
2025-05-11,23:00,+02:00,0.1077
2025-05-11,23:15,+02:00,0.1077
2025-05-11,23:30,+02:00,0.1077
2025-05-11,23:45,+02:00,0.1077
2025-05-12,00:00,+02:00,0.0431
2025-05-12,00:15,+02:00,0.0431
2025-05-12,00:30,+02:00,0.0431
2025-05-12,00:45,+02:00,0.0431
2025-05-12,01:00,+02:00,0.0431
2025-05-12,01:15,+02:00,0.0431
2025-05-12,01:30,+02:00,0.0431
2025-05-12,01:45,+02:00,0.0431
2025-05-12,02:00,+02:00,0.0431
2025-05-12,02:15,+02:00,0.0431
2025-05-12,02:30,+02:00,0.0431
2025-05-12,02:45,+02:00,0.0431
2025-05-12,03:00,+02:00,0.1077
2025-05-12,03:15,+02:00,0.1077
2025-05-12,03:30,+02:00,0.1077
2025-05-12,03:45,+02:00,0.1077
2025-05-12,04:00,+02:00,0.1077
2025-05-12,04:15,+02:00,0.1077
2025-05-12,04:30,+02:00,0.1077
2025-05-12,04:45,+02:00,0.1077
2025-05-12,05:00,+02:00,0.1077
2025-05-12,05:15,+02:00,0.1077
2025-05-12,05:30,+02:00,0.1077
2025-05-12,05:45,+02:00,0.1077
2025-05-12,06:00,+02:00,0.1077
2025-05-12,06:15,+02:00,0.1077
2025-05-12,06:30,+02:00,0.1077
2025-05-12,06:45,+02:00,0.1077
2025-05-12,07:00,+02:00,0.1077
2025-05-12,07:15,+02:00,0.1077
2025-05-12,07:30,+02:00,0.1077
2025-05-12,07:45,+02:00,0.1077
2025-05-12,08:00,+02:00,0.1077
2025-05-12,08:15,+02:00,0.1077
2025-05-12,08:30,+02:00,0.1077
2025-05-12,08:45,+02:00,0.1077
2025-05-12,09:00,+02:00,0.1077
2025-05-12,09:15,+02:00,0.1077
2025-05-12,09:30,+02:00,0.1077
2025-05-12,09:45,+02:00,0.1077
2025-05-12,10:00,+02:00,0.1077
2025-05-12,10:15,+02:00,0.1077
2025-05-12,10:30,+02:00,0.1077
2025-05-12,10:45,+02:00,0.1077
2025-05-12,11:00,+02:00,0.1077
2025-05-12,11:15,+02:00,0.1077
2025-05-12,11:30,+02:00,0.1435
2025-05-12,11:45,+02:00,0.1435
2025-05-12,12:00,+02:00,0.1435
2025-05-12,12:15,+02:00,0.1435
2025-05-12,12:30,+02:00,0.1077
2025-05-12,12:45,+02:00,0.1077
2025-05-12,13:00,+02:00,0.1077
2025-05-12,13:15,+02:00,0.1077
2025-05-12,13:30,+02:00,0.1077
2025-05-12,13:45,+02:00,0.1077
2025-05-12,14:00,+02:00,0.1077
2025-05-12,14:15,+02:00,0.1077
2025-05-12,14:30,+02:00,0.1077
2025-05-12,14:45,+02:00,0.1077